epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2487.34,0.78656,0.44336,0.94086,0.98065,0.95923,0.98992,0.8092,0.78413,0.37998,0.90989,0.00028172,0.00028172,0.00028172
88,2513.7,0.79747,0.44752,0.94464,0.97518,0.9658,0.98972,0.82087,0.75704,0.37268,0.90341,0.00026174,0.00026174,0.00026174
89,2540.8,0.76818,0.43659,0.93204,0.97703,0.95879,0.98869,0.81245,0.77518,0.3762,0.90742,0.00024176,0.00024176,0.00024176
90,2567.44,0.77346,0.43765,0.93476,0.98205,0.96011,0.98886,0.82698,0.72995,0.36763,0.89688,0.00022178,0.00022178,0.00022178
91,2597.07,0.75563,0.40072,0.95781,0.98503,0.95171,0.98844,0.81859,0.757,0.37425,0.90354,0.0002018,0.0002018,0.0002018
92,2623.15,0.74023,0.39373,0.949,0.98289,0.957,0.98879,0.80803,0.7604,0.37124,0.89994,0.00018182,0.00018182,0.00018182
93,2649.28,0.73725,0.39195,0.94179,0.98156,0.96405,0.98975,0.8279,0.73508,0.3659,0.89684,0.00016184,0.00016184,0.00016184
94,2675.9,0.71616,0.38393,0.94712,0.98323,0.95835,0.98876,0.83214,0.72246,0.36041,0.89291,0.00014186,0.00014186,0.00014186
95,2702.1,0.70214,0.37993,0.93008,0.97607,0.96556,0.98894,0.83415,0.71405,0.36242,0.89247,0.00012188,0.00012188,0.00012188
96,2728.18,0.71868,0.38292,0.94309,0.98058,0.96098,0.98885,0.83085,0.71319,0.3604,0.8887,0.0001019,0.0001019,0.0001019
97,2754.07,0.71381,0.38293,0.93594,0.98405,0.95879,0.98865,0.83829,0.70898,0.36048,0.88695,8.192e-05,8.192e-05,8.192e-05
98,2780.56,0.69584,0.37666,0.9341,0.98428,0.96051,0.98803,0.8389,0.69695,0.35563,0.88589,6.194e-05,6.194e-05,6.194e-05
99,2806.72,0.68341,0.3736,0.92638,0.98193,0.96361,0.98877,0.84329,0.687,0.35288,0.88354,4.196e-05,4.196e-05,4.196e-05
100,2833.18,0.6913,0.37671,0.93346,0.98208,0.96113,0.98861,0.84051,0.69178,0.35398,0.88225,2.198e-05,2.198e-05,2.198e-05
